x_mm,y_mm
-3.0,0.0
-0.49999999999999994,0.0
-0.40802174344977526,0.0035092180001300133
-0.36104144894211987,0.010961030011306556
-0.31366956533507573,0.02398885930621801
-0.26654561395336157,0.043154725814589304
-0.2205476181607321,0.06851513823782605
-0.1766991017038483,0.0997140957104288
-0.13607608705614876,0.1360760894614072
-0.09971409376172023,0.1766991044756943
-0.06851513677916835,0.22054762115556073
-0.043154724825488426,0.2665456169820289
-0.02398885871993626,0.3136695681762872
-0.010961029727898877,0.3610414513611045
-0.0035092179047652742,0.40802174522224394
0.0,0.49999999999999994
0.0,2.5
0.0035092180756746373,2.5919782560680127
0.010961030235812248,2.6389585503997792
0.023988859770649986,2.6863304338919534
0.04315472659812056,2.733454385222669
0.06851513939332388,2.779452381024505
0.09971409725412786,2.8233008975420524
0.13607609136676918,2.8639239122894846
0.17669910667145416,2.9002859057081207
0.22054762352795965,2.931484862823994
0.26654561938123356,2.9568452749054197
0.31366957042699606,2.9760111411205616
0.36104145327733994,2.989038970194998
0.40802174662633195,2.99649078206929
0.49999999999999994,3.0
3.0,3.0
