x_mm,y_mm,z_mm
0.0,0.0,0.0
25.0,0.0,0.0
45.0,0.0,0.0
45.23471502209297,0.000588368590789809,0.0
45.470145556151664,0.00454098414552556,0.0
45.70672024260711,0.014777729666157653,0.0
45.94457909159277,0.033758047943944304,0.0
46.183600235458826,0.06350769408208481,0.0
46.4234266812865,0.10564548801835279,0.0
46.543472623709675,0.13176113393565952,0.0
46.663493063402385,0.16141006704772948,0.0
46.78338916049691,0.19469210256424338,0.0
46.90305239589267,0.2316866383450369,0.0
47.02236540727226,0.27245349091643234,0.0
47.14120282511755,0.31703373148757125,0.0
47.25943210872575,0.36545052196674677,0.0
47.376914382225465,0.41770995097773594,0.0
47.493505270592806,0.4738018698761316,0.0
47.60905573566742,0.5337007287656751,0.0
47.723412912168584,0.5973664125145886,0.0
47.83642094371128,0.6647450767719068,0.0
47.947921818822266,0.73576998398381,0.0
48.057756206956114,0.810362339409956,0.0
48.165764294511355,0.888432127139812,0.0
48.27178662084647,0.969878946108988,0.0
48.375664914296024,1.0545928461155678,0.0
48.47724292818668,1.1424551638364422,0.0
48.576367276853354,1.2333393588436405,0.0
48.67288827165518,1.3271118496206642,0.0
48.76666075699169,1.4236328495788175,0.0
48.857544946318804,1.5227572030735406,0.0
48.94540725816495,1.6243352214207418,0.0
49.0301211521471,1.72821351891313,0.0
49.11156796498689,1.8342358488365471,0.0
49.18963774652663,1.9422439394862994,0.0
49.26423009574543,2.052078330183491,0.0
49.33525499677526,2.1635792072913542,0.0
49.402633654917004,2.276587240231585,0.0
49.46629933265653,2.390944417500674,0.0
49.526198185680784,2.506494882686235,0.0
49.58229009889385,2.6230857704833443,0.0
49.63454952243303,2.740568042710866,0.0
49.68296630768492,2.8587973243277895,0.0
49.72754654330143,2.9776347394495604,0.0
49.768313391215955,3.0969477473644096,0.0
49.805307922659345,3.2166109785496904,0.0
49.83858995417604,3.3365070706882074,0.0
49.86823888364012,3.4565275046845505,0.0
49.894354526271385,3.576573440681427,0.0
49.93649231473971,3.8163998715361847,0.0
49.96624195686445,4.055420997777103,0.0
49.98522227248917,4.293279826783944,0.0
49.99545901653177,4.52985449131424,0.0
49.999411631498845,4.765285002025932,0.0
50.0,4.999999999999999,0.0
50.0,25.0,0.0
50.0,45.0,0.0
49.99941163153228,45.23471502278227,0.0
49.995459016784444,45.4701455575082,0.0
49.98522227329326,45.70672024459025,0.0
49.966241958658344,45.94457909414689,0.0
49.93649231803091,46.183600238516654,0.0
49.894354531602545,46.42342668477225,0.0
49.86823889019722,46.54347262737909,0.0
49.83858996209411,46.66349306723459,0.0
49.80530793206967,46.78338916447075,0.0
49.76831340224445,46.903052399986855,0.0
49.7275465560673,47.02236541146547,0.0
49.682966322299244,47.1412028293886,0.0
49.63454953899753,47.259432113053705,0.0
49.58229011749975,47.376914386589775,0.0
49.52619820640774,47.49350527497341,0.0
49.46629935557168,47.609055740044845,0.0
49.40263368007412,47.723412916524055,0.0
49.335255024213964,47.83642094802683,0.0
49.26423012549051,47.94792182308073,0.0
49.18963777858751,48.05775621114133,0.0
49.11156799935715,48.165764298608124,0.0
49.0301211888041,48.2717866248407,0.0
48.94540729706953,48.37566491817471,0.0
48.85754498741511,48.47724293193801,0.0
48.7666608002071,48.576367280466684,0.0
48.67288831690032,48.67288827512115,0.0
48.57636732402219,48.76666076030217,0.0
48.47724297715676,48.857544949466956,0.0
48.375664964928724,48.9454072611452,0.0
48.27178667298747,49.03012115495518,0.0
48.165764347991065,49.11156796761979,0.0
48.057756261590306,49.18963774898262,0.0
47.94792187441277,49.26423009802403,0.0
47.83642100004678,49.33525499887719,0.0
47.723412969025475,49.402633656844145,0.0
47.6090557928108,49.46629933441193,0.0
47.493505327777584,49.52619818726855,0.0
47.37691443919751,49.58229010031914,0.0
47.259432165223174,49.63454952370195,0.0
47.14120288087208,49.68296630880443,0.0
47.02236546201071,49.72754654427935,0.0
46.9030524493385,49.768313392060776,0.0
46.783389212371915,49.805307923380205,0.0
46.66349311342841,49.83858995478259,0.0
46.54347267161053,49.868238884142414,0.0
46.423426726789856,49.89435452667978,0.0
46.18360027537613,49.936492314991824,0.0
45.94457912493455,49.96624195700188,0.0
45.70672026849527,49.98522227255077,0.0
45.470145573860066,49.995459016551116,0.0
45.234715031091156,49.99941163150141,0.0
45.0,50.0,0.0
25.0,50.0,0.0
4.999999999999999,50.0,0.0
4.765285024676375,49.99941163152421,0.0
4.529854535890223,49.995459016723444,0.0
4.293279891950187,49.98522227309914,0.0
4.055421081705774,49.96624195822526,0.0
3.816399972016904,49.936492317236315,0.0
3.576573555223458,49.89435453031547,0.0
3.4565276252616153,49.86823888861417,0.0
3.3365071966148183,49.83858996018249,0.0
3.216611109130573,49.80530792979777,0.0
3.096947881899421,49.768313399581906,0.0
2.9776348772383665,49.727546552985324,0.0
2.858797464674298,49.682966318770994,0.0
2.7405681849274086,49.63454953499847,0.0
2.623085913894625,49.582290113007836,0.0
2.506495026633026,49.52619820140375,0.0
2.390944561343269,49.46629935003942,0.0
2.276587383353011,49.4026336740006,0.0
2.163579349100333,49.3352550175896,0.0
2.0520784701171646,49.26423011830934,0.0
1.9422440770127036,49.18963777084725,0.0
1.834235983456844,49.11156799105935,0.0
1.728213650163596,49.03012117995423,0.0
1.624335348874511,48.945407287677035,0.0
1.522757326342103,48.85754497749349,0.0
1.4236329683132745,48.76666078977387,0.0
1.3271119635127382,48.67288830597706,0.0
1.2333394676264402,48.5763673126345,0.0
1.1424552672849844,48.47724296533421,0.0
1.0545929440470547,48.37566495270478,0.0
0.9698790383828393,48.271786660399385,0.0
0.8884322136574532,48.165764335079785,0.0
0.8103624201143624,48.05775624840031,0.0
0.7357700588588061,47.9479218609919,0.0
0.6647451458412212,47.83642098644605,0.0
0.5973664758406644,47.72341295529887,0.0
0.5337007864482368,47.60905577901504,0.0
0.47380192205050653,47.49350531397182,0.0
0.41770999781293183,47.376914425443104,0.0
0.36545056366328504,47.25943215158334,0.0
0.31703376827507534,47.14120286741161,0.0
0.2724535230509725,47.02236544879554,0.0
0.23168666610623,46.9030524364354,0.0
0.1946921262521084,46.78338919984805,0.0
0.16141008697929865,46.66349310135093,0.0
0.13176115044134537,46.543472660046106,0.0
0.10564550143807018,46.423426715804254,0.0
0.0635077023667661,46.18360026573913,0.0
0.033758052459587094,45.94457911688505,0.0
0.014777731690259253,45.706720262245256,0.0
0.0045409847815805395,45.47014556958483,0.0
0.0005883686749671671,45.234715028918785,0.0
0.0,45.0,0.0
0.0,25.0,0.0
0.0,25.0,2.5
0.0,45.0,2.5
0.0005883686749671671,45.234715028918785,2.5
0.0045409847815805395,45.47014556958483,2.5
0.014777731690259253,45.706720262245256,2.5
0.033758052459587094,45.94457911688505,2.5
0.0635077023667661,46.18360026573913,2.5
0.10564550143807018,46.423426715804254,2.5
0.13176115044134537,46.543472660046106,2.5
0.16141008697929865,46.66349310135093,2.5
0.1946921262521084,46.78338919984805,2.5
0.23168666610623,46.9030524364354,2.5
0.2724535230509725,47.02236544879554,2.5
0.31703376827507534,47.14120286741161,2.5
0.36545056366328504,47.25943215158334,2.5
0.41770999781293183,47.376914425443104,2.5
0.47380192205050653,47.49350531397182,2.5
0.5337007864482368,47.60905577901504,2.5
0.5973664758406644,47.72341295529887,2.5
0.6647451458412212,47.83642098644605,2.5
0.7357700588588061,47.9479218609919,2.5
0.8103624201143624,48.05775624840031,2.5
0.8884322136574532,48.165764335079785,2.5
0.9698790383828393,48.271786660399385,2.5
1.0545929440470547,48.37566495270478,2.5
1.1424552672849844,48.47724296533421,2.5
1.2333394676264402,48.5763673126345,2.5
1.3271119635127382,48.67288830597706,2.5
1.4236329683132745,48.76666078977387,2.5
1.522757326342103,48.85754497749349,2.5
1.624335348874511,48.945407287677035,2.5
1.728213650163596,49.03012117995423,2.5
1.834235983456844,49.11156799105935,2.5
1.9422440770127036,49.18963777084725,2.5
2.0520784701171646,49.26423011830934,2.5
2.163579349100333,49.3352550175896,2.5
2.276587383353011,49.4026336740006,2.5
2.390944561343269,49.46629935003942,2.5
2.506495026633026,49.52619820140375,2.5
2.623085913894625,49.582290113007836,2.5
2.7405681849274086,49.63454953499847,2.5
2.858797464674298,49.682966318770994,2.5
2.9776348772383665,49.727546552985324,2.5
3.096947881899421,49.768313399581906,2.5
3.216611109130573,49.80530792979777,2.5
3.3365071966148183,49.83858996018249,2.5
3.4565276252616153,49.86823888861417,2.5
3.576573555223458,49.89435453031547,2.5
3.816399972016904,49.936492317236315,2.5
4.055421081705774,49.96624195822526,2.5
4.293279891950187,49.98522227309914,2.5
4.529854535890223,49.995459016723444,2.5
4.765285024676375,49.99941163152421,2.5
4.999999999999999,50.0,2.5
25.0,50.0,2.5
45.0,50.0,2.5
45.234715031091156,49.99941163150141,2.5
45.470145573860066,49.995459016551116,2.5
45.70672026849527,49.98522227255077,2.5
45.94457912493455,49.96624195700188,2.5
46.18360027537613,49.936492314991824,2.5
46.423426726789856,49.89435452667978,2.5
46.54347267161053,49.868238884142414,2.5
46.66349311342841,49.83858995478259,2.5
46.783389212371915,49.805307923380205,2.5
46.9030524493385,49.768313392060776,2.5
47.02236546201071,49.72754654427935,2.5
47.14120288087208,49.68296630880443,2.5
47.259432165223174,49.63454952370195,2.5
47.37691443919751,49.58229010031914,2.5
47.493505327777584,49.52619818726855,2.5
47.6090557928108,49.46629933441193,2.5
47.723412969025475,49.402633656844145,2.5
47.83642100004678,49.33525499887719,2.5
47.94792187441277,49.26423009802403,2.5
48.057756261590306,49.18963774898262,2.5
48.165764347991065,49.11156796761979,2.5
48.27178667298747,49.03012115495518,2.5
48.375664964928724,48.9454072611452,2.5
48.47724297715676,48.857544949466956,2.5
48.57636732402219,48.76666076030217,2.5
48.67288831690032,48.67288827512115,2.5
48.7666608002071,48.576367280466684,2.5
48.85754498741511,48.47724293193801,2.5
48.94540729706953,48.37566491817471,2.5
49.0301211888041,48.2717866248407,2.5
49.11156799935715,48.165764298608124,2.5
