序号,焊接电流(A),焊接速度(cm/min),摆动频率(Hz),摆动幅度(mm),冷却时间(s),平均宽度(mm),平均高度(mm)
94,61.1459,25.8467,2.6025,2.1355,20,10.3474,1.6858
95,89.7173,29.4931,2.7275,2.4222,20,12.5124,1.6655
96,85.0257,24.925,2.046,3.7612,20,13.9597,1.7754
97,89.3796,23.9795,2.5304,2.8552,20,13.7006,1.8388
98,69.8696,29.3086,2.3935,2.767,20,11.9322,1.5507
99,68.4305,25.1077,2.4543,1.0901,20,6.3761,2.0763
100,93.6759,23.7315,3.6284,2.7187,20,14.0682,1.7997
101,95.8569,29.7376,2.1813,3.3178,40,13.6447,1.6996
102,74.1161,26.0335,3.4838,3.0294,40,12.8437,1.601
103,73.0778,23.3923,2.0813,1.2448,40,7.0798,2.1376
104,65.0913,24.7596,2.2594,1.7905,40,8.9267,1.8559
105,79.6413,22.5858,3.4289,2.3663,40,12.4528,1.8149
106,69.1793,23.8511,2.7735,2.6792,40,12.4315,1.7275
107,66.8418,28.6616,3.0322,2.8843,40,12.0224,1.5196
108,62.0517,27.232,3.9116,1.5475,40,7.8434,1.7051
109,98.562,28.4629,3.7862,2.2631,40,12.5514,1.7318
110,81.9493,22.0908,2.284,3.6208,40,13.9587,1.8489
111,64.2432,22.4298,2.5095,2.938,40,12.5372,1.742
112,99.8177,25.4411,3.9768,3.1486,40,14.6435,1.7522
113,77.815,24.6322,3.3351,1.6976,40,9.3445,1.8754
114,76.4638,29.6008,3.0612,2.5195,40,12.0369,1.5679
115,62.7383,24.3334,3.2799,3.5323,40,12.9733,1.5824
116,82.7845,29.9478,3.86,1.1744,40,6.8901,1.8718
117,80.8762,28.7216,2.2377,2.2386,40,11.0284,1.7293
118,70.6159,26.5897,3.1373,3.855,40,13.3301,1.5514
119,88.1806,28.8866,3.5645,3.7228,40,13.9951,1.5455
120,80.6718,22.1685,3.1191,1.6422,40,9.493,2.0034
121,75.7747,25.5725,2.8205,1.9544,40,10.1305,1.8112
122,71.9897,26.8633,3.9403,1.9838,40,10.0488,1.6516
123,97.1488,22.6575,3.6433,1.7688,40,10.9942,2.039
124,87.2463,27.314,3.3744,1.0204,40,6.8061,2.119
125,96.3632,24.4132,2.1507,3.064,40,14.0275,1.9199
126,90.5486,23.2584,3.1754,1.2158,40,8.1948,2.1957
127,76.9872,22.9492,2.6557,2.5686,40,12.7705,1.8243
128,83.4973,25.7886,3.4538,3.9197,40,14.2396,1.6293
129,72.2651,23.5795,2.9088,3.998,40,13.8322,1.6722
130,92.7329,25.2712,3.7507,1.3891,40,8.8704,2.0274
131,63.4723,28.259,2.9858,3.501,40,12.4845,1.4865
132,86.9491,29.1811,2.5735,3.6508,40,13.6217,1.6142
133,94.8216,27.5107,3.2017,3.178,40,14.01,1.7013
134,85.804,27.6177,2.9514,1.321,40,7.8408,1.9817
135,97.8261,27.9452,3.7062,3.3586,40,14.4052,1.6537
136,60.3165,26.2545,3.8359,1.8788,40,9.2699,1.647
137,92.8292,28.2054,2.8755,2.058,40,11.229,1.807
138,75.1192,26.4372,2.3234,3.2608,40,12.8044,1.677
139,65.9313,23.0818,2.4133,2.1924,40,10.8482,1.8198
140,91.3682,24.1723,2.0327,2.4546,40,12.9425,1.9512
141,84.3566,27.0499,3.5504,3.413,40,13.6671,1.6032
